IATA,codigo,departamento
AXM,63001,quindio
BAQ,8001,atlantico
BOG,11001,distrito_capital
BGA,68001,santander
CLO,76001,valle_del_cauca
CTG,13001,bolivar
CUC,54001,norte_de_santander
LET,91001,amazonas
MDE,5001,antioquia
PEI,66001,risaralda
RCH,44001,la_guajira
ADZ,88001,san_andres_y_providencia
SMR,47001,magdalena
APO,5045,antioquia
AUC,81001,arauca
EJA,68081,santander
FLA,18001,caqueta
IBE,73001,tolima
MZL,17001,caldas
EOH,5001,antioquia
MTR,23001,cordoba
NVA,41001,huila
PSO,52001,narino
PPN,19001,cauca
PVA,88564,"san_andres_y
providencia"
PUU,86568,putumayo
UIB,27001,choco
TCO,52835,narino
VUP,20001,cesar
VVC,50001,meta
EYP,85001,casanare
ACD,27006,choco
BSC,27075,choco
BUN,76109,valle_del_cauca
CAQ,5154,antioquia
COG,27205,choco
PCE,99773,vichada
EBG,5250,antioquia
GIR,73275,tolima
GPI,19318,cauca
IPI,52356,narino
LCR,91405,amazonas
LMC,50350,meta
MCJ,44430,la_guajira
MVP,97001,vaupes
NQU,27495,choco
OCV,54498,norte_de_santander
PTX,41551,huila
PCR,99001,vichada
LQM,86573,putumayo
OTU,5604,antioquia
SJE,95001,guaviare
SVI,18753,caqueta
RVE,81736,arauca
CZU,70001,sucre
SOX,15759,boyaca
TME,81794,arauca
VGZ,86885,putumayo
GYM,25175,cundinamarca
CTO,19698,cauca
CRC,76147,valle_del_cauca
IGO,5172,antioquia
RAV,81220,arauca
MGN,13430,bolivar
MCJ,44430,la_guajira
MQU,73443,tolima
MTB,23466,cordoba
NCI,5490,antioquia
PYA,15516,boyaca
PGT,50568,meta
PCC,18592,caqueta
SGL,68679,santander
NPD,5665,antioquia
TRB,5837,antioquia
PAL,25572,cundinamarca
TQS,18756,caqueta
