codigo,ciudad
05001,medellin
05002,abejorral
05004,abriaqui
05021,alejandria
05030,amaga
05031,amalfi
05034,andes
05036,angelopolis
05038,angostura
05040,anori
05042,santafedeantioquia
05044,anza
05045,apartado
05051,arboletes
05055,argelia
05059,armenia
05079,barbosa
05086,belmira
05088,bello
05091,betania
05093,betulia
05101,ciudadbolivar
05107,briceño
05113,buritica
05120,caceres
05125,caicedo
05129,caldas
05134,campamento
05138,cañasgordas
05142,caracoli
05145,caramanta
05147,carepa
05148,elcarmendeviboral
05150,carolina
05154,caucasia
05172,chigorodo
05190,cisneros
05197,cocorna
05206,concepcion
05209,concordia
05212,copacabana
05234,dabeiba
05237,donmatias
05240,ebejico
05250,elbagre
05264,entrerrios
05266,envigado
05282,fredonia
05284,frontino
05306,giraldo
05308,girardota
05310,gomezplata
05313,granada
05315,guadalupe
05318,guarne
05321,guatape
05347,heliconia
05353,hispania
05360,itagui
05361,ituango
05364,jardin
05368,jerico
05376,laceja
05380,laestrella
05390,lapintada
05400,launion
05411,liborina
05425,maceo
05440,marinilla
05467,montebello
05475,murindo
05480,mutata
05483,nariño
05490,necocli
05495,nechi
05501,olaya
05541,peñol
05543,peque
05576,pueblorrico
05579,puertoberrio
05585,puertonare
05591,puertotriunfo
05604,remedios
05607,retiro
05615,rionegro
05628,sabanalarga
05631,sabaneta
05642,salgar
05647,sanandresdecuerquia
05649,sancarlos
05652,sanfrancisco
05656,sanjeronimo
05658,sanjosedelamontaña
05659,sanjuandeuraba
05660,sanluis
05664,sanpedro
05665,sanpedrodeuraba
05667,sanrafael
05670,sanroque
05674,sanvicente
05679,santabarbara
05686,santarosadeosos
05690,santodomingo
05697,elsantuario
05736,segovia
05756,sonson
05761,sopetran
05789,tamesis
05790,taraza
05792,tarso
05809,titiribi
05819,toledo
05837,turbo
05842,uramita
05847,urrao
05854,valdivia
05856,valparaiso
05858,vegachi
05861,venecia
05873,vigiadelfuerte
05885,yali
05887,yarumal
05890,yolombo
05893,yondo
05895,zaragoza
08001,barranquilla
08078,baranoa
08137,campodelacruz
08141,candelaria
08296,galapa
08372,juandeacosta
08421,luruaco
08433,malambo
08436,manati
08520,palmardevarela
08549,piojo
08558,polonuevo
08560,ponedera
08573,puertocolombia
08606,repelon
08634,sabanagrande
08638,sabanalarga
08675,santalucia
08685,santotomas
08758,soledad
08770,suan
08832,tubara
08849,usiacuri
11001,"bogota,d.c."
13001,cartagena
13006,achi
13030,altosdelrosario
13042,arenal
13052,arjona
13062,arroyohondo
13074,barrancodeloba
13140,calamar
13160,cantagallo
13188,cicuco
13212,cordoba
13222,clemencia
13244,elcarmendebolivar
13248,elguamo
13268,elpeñon
13300,hatillodeloba
13430,magangue
13433,mahates
13440,margarita
13442,marialabaja
13458,montecristo
13468,mompos
13473,morales
13549,pinillos
13580,regidor
13600,rioviejo
13620,sancristobal
13647,sanestanislao
13650,sanfernando
13654,sanjacinto
13655,sanjacintodelcauca
13657,sanjuannepomuceno
13667,sanmartindeloba
13670,sanpablo
13673,santacatalina
13683,santarosa
13688,santarosadelsur
13744,simiti
13760,soplaviento
13780,talaiguanuevo
13810,tiquisio
13836,turbaco
13838,turbana
13873,villanueva
13894,zambrano
15001,tunja
15022,almeida
15047,aquitania
15051,arcabuco
15087,belen
15090,berbeo
15092,beteitiva
15097,boavita
15104,boyaca
15106,briceño
15109,buenavista
15114,busbanza
15131,caldas
15135,campohermoso
15162,cerinza
15172,chinavita
15176,chiquinquira
15180,chiscas
15183,chita
15185,chitaraque
15187,chivata
15189,cienega
15204,combita
15212,coper
15215,corrales
15218,covarachia
15223,cubara
15224,cucaita
15226,cuitiva
15232,chiquiza
15236,chivor
15238,duitama
15244,elcocuy
15248,el6aspino
15272,firavitoba
15276,floresta
15293,gachantiva
15296,gameza
15299,garagoa
15317,guacamayas
15322,guateque
15325,guayata
15332,güican
15362,iza
15367,jenesano
15368,jerico
15377,labranzagrande
15380,lacapilla
15401,lavictoria
15403,lauvita
15407,villadeleyva
15425,macanal
15442,maripi
15455,miraflores
15464,mongua
15466,mongui
15469,moniquira
15476,motavita
15480,muzo
15491,nobsa
15494,nuevocolon
15500,oicata
15507,otanche
15511,pachavita
15514,paez
15516,paipa
15518,pajarito
15522,panqueba
15531,pauna
15533,paya
15537,pazderio
15542,pesca
15550,pisba
15572,puertoboyaca
15580,quipama
15599,ramiriqui
15600,raquira
15621,rondon
15632,saboya
15638,sachica
15646,samaca
15660,saneduardo
15664,sanjosedepare
15667,sanluisdegaceno
15673,sanmateo
15676,sanmigueldesema
15681,sanpablodeborbur
15686,santana
15690,santamaria
15693,santarosadeviterbo
15696,santasofia
15720,sativanorte
15723,sativasur
15740,siachoque
15753,soata
15755,socota
15757,socha
15759,sogamoso
15761,somondoco
15762,sora
15763,sotaquira
15764,soraca
15774,susacon
15776,sutamarchan
15778,sutatenza
15790,tasco
15798,tenza
15804,tibana
15806,tibasosa
15808,tinjaca
15810,tipacoque
15814,toca
15816,togüi
15820,topaga
15822,tota
15832,tunungua
15835,turmeque
15837,tuta
15839,tutaza
15842,umbita
15861,ventaquemada
15879,viracacha
15897,zetaquira
17001,manizales
17013,aguadas
17042,anserma
17050,aranzazu
17088,belalcazar
17174,chinchina
17272,filadelfia
17380,ladorada
17388,lamerced
17433,manzanares
17442,marmato
17444,marquetalia
17446,marulanda
17486,neira
17495,norcasia
17513,pacora
17524,palestina
17541,pensilvania
17614,riosucio
17616,risaralda
17653,salamina
17662,samana
17665,sanjose
17777,supia
17867,victoria
17873,villamaria
17877,viterbo
18001,florencia
18029,albania
18094,belendelosandaquies
18150,cartagenadelchaira
18205,curillo
18247,eldoncello
18256,elpaujil
18410,lamontañita
18460,milan
18479,morelia
18592,puertorico
18610,sanjosedelfragua
18753,sanvicentedelcaguan
18756,solano
18785,solita
18860,valparaiso
19001,popayan
19022,almaguer
19050,argelia
