IATA,Ciudad 
AXM,Armenia 
BAQ,Barranquilla 
BOG,Bogotá
BGA,Bucaramanga 
CLO,Cali 
CTG,Cartagena
CUC,Cúcuta
LET,Leticia
MDE,Medellín 
PEI,Pereira
RCH,Riohacha
ADZ,San Andrés
SMR,Santa Marta
APO,Apartadó 
AUC,Arauca
EJA,Barrancabermeja
FLA,Florencia
IBE,Ibagué
MZL,Manizales
EOH,Medellín
MTR,Montería
NVA,Neiva
PSO,Pasto 
PPN,Popayán
PVA,Providencia
PUU,Puerto Asís
UIB,Quibdó
TCO,Tumaco
VUP,Valledupar
VVC,Villavicencio
EYP,Yopal
ACD,Acandí
ACR,Araracuara 
BSC,Bahía Solano
BUN,Buenaventura
CAQ,Caucasia
CPB,Capurganá
COG,Condoto
PCE,Cumaribo
EBG,El Bagre
GIR,Girardot 
GPI,Guapi
IPI,Ipiales 
LCR,La Chorrera
LMC,La Macarena
MCJ,Maicao
MVP,Mitú
NQU,Nuquí
OCV,Ocaña
PTX,Pitalito
URA,Puerto Bolívar 
PDA,Puerto Inírida
PCR,Puerto Carreño
LQM,Puerto Leguízamo
OTU,Remedios
SJE,San José del Guaviare
SVI,San Vicente del
RVE,Saravena
CZU,Sincelejo 
SOX,Sogamoso
TME,Tame
TLU,Tolú
VGZ,Villa Garzón
ULQ,Tuluá
GYM,Bogotá D. C. 
CTO,Santander de quilichao
CRC,Cartago
IGO,Chigorodó
RAV,Cravo Norte
MGN,Magangué
MQU,Mariquita
MTB,Montelíbano
NCI,Necoclí
PYA,Paipa
PGT,Puerto Gaitán
PCC,Puerto Rico
SGL,San Gil
NPD,San Pedro de Urabá
TRB,Turbo
MQZ,Marandúa
PAL,Puerto Salgar
TQS,Solano
