codigo,municipio,departamento
91001,leticia,amazonas
91263,el_encanto,amazonas
91405,la_chorrera,amazonas
91407,la_pedrera,amazonas
91430,la_victoria,amazonas
91460,miriti_parana,amazonas
91530,puerto_alegria,amazonas
91536,puerto_arica,amazonas
91540,puerto_narino,amazonas
91669,puerto_santander,amazonas
91798,tarapaca,amazonas
5001,medellin,antioquia
5002,abejorral,antioquia
5004,abriaqui,antioquia
5021,alejandria,antioquia
5030,amaga,antioquia
5031,amalfi,antioquia
5034,andes,antioquia
5036,angelopolis,antioquia
5038,angostura,antioquia
5040,anori,antioquia
5042,santafe_de_antioquia,antioquia
5044,anza,antioquia
5045,apartado,antioquia
5051,arboletes,antioquia
5055,argelia,antioquia
5059,armenia,antioquia
5079,barbosa,antioquia
5086,belmira,antioquia
5088,bello,antioquia
5091,betania,antioquia
5093,betulia,antioquia
5101,ciudad_bolivar,antioquia
5107,briceno,antioquia
5113,buritica,antioquia
5120,caceres,antioquia
5125,caicedo,antioquia
5129,caldas,antioquia
5134,campamento,antioquia
5138,canasgordas,antioquia
5142,caracoli,antioquia
5145,caramanta,antioquia
5147,carepa,antioquia
5148,el_carmen_de_viboral,antioquia
5150,carolina,antioquia
5154,caucasia,antioquia
5172,chigorodo,antioquia
5190,cisneros,antioquia
5197,cocorna,antioquia
5206,concepcion,antioquia
5209,concordia,antioquia
5212,copacabana,antioquia
5234,dabeiba,antioquia
5237,donmatias,antioquia
5240,ebejico,antioquia
5250,el_bagre,antioquia
5264,entrerrios,antioquia
5266,envigado,antioquia
5282,fredonia,antioquia
5284,frontino,antioquia
5306,giraldo,antioquia
5308,girardota,antioquia
5310,gomez_plata,antioquia
5313,granada,antioquia
5315,guadalupe,antioquia
5318,guarne,antioquia
5321,guatape,antioquia
5347,heliconia,antioquia
5353,hispania,antioquia
5360,itagui,antioquia
5361,ituango,antioquia
5364,jardin,antioquia
5368,jerico,antioquia
5376,la_ceja,antioquia
5380,la_estrella,antioquia
5390,la_pintada,antioquia
5400,la_union,antioquia
5411,liborina,antioquia
5425,maceo,antioquia
5440,marinilla,antioquia
5467,montebello,antioquia
5475,murindo,antioquia
5480,mutata,antioquia
5483,narino,antioquia
5490,necocli,antioquia
5495,nechi,antioquia
5501,olaya,antioquia
5541,penol,antioquia
5543,peque,antioquia
5576,pueblorrico,antioquia
5579,puerto_berrio,antioquia
5585,puerto_nare,antioquia
5591,puerto_triunfo,antioquia
5604,remedios,antioquia
5607,retiro,antioquia
5615,rionegro,antioquia
5628,sabanalarga,antioquia
5631,sabaneta,antioquia
5642,salgar,antioquia
5647,san_andres_de_cuerquia,antioquia
5649,san_carlos,antioquia
5652,san_francisco,antioquia
5656,san_jeronimo,antioquia
5658,san_jose_de_la_montana,antioquia
5659,san_juan_de_uraba,antioquia
5660,san_luis,antioquia
5664,san_pedro_de_los_milagros,antioquia
5665,san_pedro_de_uraba,antioquia
5667,san_rafael,antioquia
5670,san_roque,antioquia
5674,san_vicente,antioquia
5679,santa_barbara,antioquia
5686,santa_rosa_de_osos,antioquia
5690,santo_domingo,antioquia
5697,el_santuario,antioquia
5736,segovia,antioquia
5756,sonson,antioquia
5761,sopetran,antioquia
5789,tamesis,antioquia
5790,taraza,antioquia
5792,tarso,antioquia
5809,titiribi,antioquia
5819,toledo,antioquia
5837,turbo,antioquia
5842,uramita,antioquia
5847,urrao,antioquia
5854,valdivia,antioquia
5856,valparaiso,antioquia
5858,vegachi,antioquia
5861,venecia,antioquia
5873,vigia_del_fuerte,antioquia
5885,yali,antioquia
5887,yarumal,antioquia
5890,yolombo,antioquia
5893,yondo,antioquia
5895,zaragoza,antioquia
81001,arauca,arauca
81065,arauquita,arauca
81220,cravo_norte,arauca
81300,fortul,arauca
81591,puerto_rondon,arauca
81736,saravena,arauca
81794,tame,arauca
8001,barranquilla,atlantico
8078,baranoa,atlantico
8137,campo_de_la_cruz,atlantico
8141,candelaria,atlantico
8296,galapa,atlantico
8372,juan_de_acosta,atlantico
8421,luruaco,atlantico
8433,malambo,atlantico
8436,manati,atlantico
8520,palmar_de_varela,atlantico
8549,piojo,atlantico
