IATA,ciudad 
AXM,armenia
BAQ,barranquilla
BOG,bogota
BGA,bucaramanga
CLO,cali
CTG,cartagena
CUC,cucuta
LET,leticia
MDE,medellin
PEI,pereira
RCH,riohacha
ADZ,sanandres
SMR,santamarta
APO,apartado
AUC,arauca
EJA,barrancabermeja
FLA,florencia
IBE,ibague
MZL,manizales
EOH,medellin
MTR,monteria
NVA,neiva
PSO,pasto
PPN,popayan
PVA,providencia
PUU,puertoasis
UIB,quibdo
TCO,tumaco
VUP,valledupar
VVC,villavicencio
EYP,yopal
ACD,acandi
ACR,araracuara
BSC,bahiasolano
BUN,buenaventura
CAQ,caucasia
CPB,capurgana
COG,condoto
PCE,cumaribo
EBG,elbagre
GIR,girardot
GPI,guapi
IPI,ipiales
LCR,lachorrera
LMC,lamacarena
MCJ,maicao
MVP,mitu
NQU,nuqui
OCV,ocana
PTX,pitalito
URA,puertobolivar
PDA,puertoinirida
PCR,puertocarreno
LQM,puertoleguizamo
OTU,remedios
SJE,sanjosedelguaviare
SVI,sanvicentedel
RVE,saravena
CZU,sincelejo
SOX,sogamoso
TME,tame
TLU,tolu
VGZ,villagarzon
ULQ,tulua
GYM,bogotad.c.
CTO,santanderdequilichao
CRC,cartago
IGO,chigorodo
RAV,cravonorte
MGN,magangue
MQU,mariquita
MTB,montelibano
NCI,necocli
PYA,paipa
PGT,puertogaitan
PCC,puertorico
SGL,sangil
NPD,sanpedrodeuraba
TRB,turbo
MQZ,marandua
PAL,puertosalgar
TQS,solano
