IATA,municipio,departamento
AXM,armenia,quindio
BAQ,barranquilla,atlantico
BOG,bogota,distrito_capital
BGA,bucaramanga,santander
CLO,cali,valle_del_cauca
CTG,cartagena,bolivar
CUC,cucuta,norte_de_santander
LET,leticia,amazonas
MDE,medellin,antioquia
PEI,pereira,risaralda
RCH,riohacha,la_guajira
ADZ,san_andres,san_andres_y_providencia
SMR,santa_marta,magdalena
APO,apartado,antioquia
AUC,arauca,arauca
EJA,barrancabermeja,santander
BOG,bogota,distrito_capital
FLA,florencia,caqueta
IBE,ibague,tolima
MZL,manizales,caldas
EOH,medellin,antioquia
MTR,monteria,cordoba
NVA,neiva,huila
PSO,pasto,narino
PPN,popayan,cauca
PVA,providencia,"san_andres_y
providencia"
PUU,puerto_asis,putumayo
UIB,quibdo,choco
TCO,tumaco,narino
VUP,valledupar,cesar
VVC,villavicencio,meta
EYP,yopal,casanare
ACD,acandi,choco
ACR,araracuara,caqueta
BSC,bahia_solano,choco
BUN,buenaventura,valle_del_cauca
CAQ,caucasia,antioquia
CPB,capurgana,choco
COG,condoto,choco
PCE,cumaribo,vichada
EBG,el_bagre,antioquia
GIR,girardot,cundinamarca_tolima
GPI,guapi,cauca
IPI,ipiales,narino
LCR,la_chorrera,amazonas
LMC,la_macarena,meta
MCJ,maicao,la_guajira
MVP,mitu,vaupes
NQU,nuqui,choco
OCV,ocana,norte_de_santander
PTX,pitalito,huila
URA,puerto_bolivar,la_guajira
PDA,puerto_inirida,guainia
PCR,puerto_carreno,vichada
LQM,puerto_leguizamo,putumayo
OTU,remedios,antioquia
SJE,san_jose_del_guaviare,guaviare
SVI,san_vicente_del,caqueta
RVE,saravena,arauca
CZU,sincelejo,sucre
SOX,sogamoso,boyaca
TME,tame,arauca
TLU,tolu,sucre
VGZ,villa_garzon,putumayo
ULQ,tulua,valle_del_cauca
GYM,bogota_d._c.,cundinamarca
CTO,santander_de_quilichao,cauca
CRC,cartago,valle_del_cauca
IGO,chigorodo,antioquia
RAV,cravo_norte,arauca
MGN,magangue,bolivar
MCJ,maicao,la_guajira
MQU,mariquita,tolima
MTB,montelibano,cordoba
NCI,necocli,antioquia
PYA,paipa,boyaca
PGT,puerto_gaitan,meta
PCC,puerto_rico,caqueta
SGL,san_gil,santander
NPD,san_pedro_de_uraba,antioquia
TRB,turbo,antioquia
BOG,bogota,distrito_capital
MQZ,marandua,guaviare
PAL,puerto_salgar,cundinamarca
TQS,solano,caqueta
