Codigo,Municipio
05001,MEDELLIN
05002,ABEJORRAL
05004,ABRIAQUI
05021,ALEJANDRIA
05030,AMAGA
05031,AMALFI
05034,ANDES
05036,ANGELOPOLIS
05038,ANGOSTURA
05040,ANORI
05042,SANTAFE DE ANTIOQUIA
05044,ANZA
05045,APARTADO
05051,ARBOLETES
05055,ARGELIA
05059,ARMENIA
05079,BARBOSA
05086,BELMIRA
05088,BELLO
05091,BETANIA
05093,BETULIA
05101,CIUDAD BOLIVAR
05107,BRICEÑO
05113,BURITICA
05120,CACERES
05125,CAICEDO
05129,CALDAS
05134,CAMPAMENTO
05138,CAÑASGORDAS
05142,CARACOLI
05145,CARAMANTA
05147,CAREPA
05148,EL CARMEN DE VIBORAL
05150,CAROLINA
05154,CAUCASIA
05172,CHIGORODO
05190,CISNEROS
05197,COCORNA
05206,CONCEPCION
05209,CONCORDIA
05212,COPACABANA
05234,DABEIBA
05237,DON MATIAS
05240,EBEJICO
05250,EL BAGRE
05264,ENTRERRIOS
05266,ENVIGADO
05282,FREDONIA
05284,FRONTINO
05306,GIRALDO
05308,GIRARDOTA
05310,GOMEZ PLATA
05313,GRANADA
05315,GUADALUPE
05318,GUARNE
05321,GUATAPE
05347,HELICONIA
05353,HISPANIA
05360,ITAGUI
05361,ITUANGO
05364,JARDIN
05368,JERICO
05376,LA CEJA
05380,LA ESTRELLA
05390,LA PINTADA
05400,LA UNION
05411,LIBORINA
05425,MACEO
05440,MARINILLA
05467,MONTEBELLO
05475,MURINDO
05480,MUTATA
05483,NARIÑO
05490,NECOCLI
05495,NECHI
05501,OLAYA
05541,PEÑOL
05543,PEQUE
05576,PUEBLORRICO
05579,PUERTO BERRIO
05585,PUERTO NARE
05591,PUERTO TRIUNFO
05604,REMEDIOS
05607,RETIRO
05615,RIONEGRO
05628,SABANALARGA
05631,SABANETA
05642,SALGAR
05647,SAN ANDRES DE CUERQUIA
05649,SAN CARLOS
05652,SAN FRANCISCO
05656,SAN JERONIMO
05658,SAN JOSE DE LA MONTAÑA
05659,SAN JUAN DE URABA
05660,SAN LUIS
05664,SAN PEDRO
05665,SAN PEDRO DE URABA
05667,SAN RAFAEL
05670,SAN ROQUE
05674,SAN VICENTE
05679,SANTA BARBARA
05686,SANTA ROSA DE OSOS
05690,SANTO DOMINGO
05697,EL SANTUARIO
05736,SEGOVIA
05756,SONSON
05761,SOPETRAN
05789,TAMESIS
05790,TARAZA
05792,TARSO
05809,TITIRIBI
05819,TOLEDO
05837,TURBO
05842,URAMITA
05847,URRAO
05854,VALDIVIA
05856,VALPARAISO
05858,VEGACHI
05861,VENECIA
05873,VIGIA DEL FUERTE
05885,YALI
05887,YARUMAL
05890,YOLOMBO
05893,YONDO
05895,ZARAGOZA
08001,BARRANQUILLA
08078,BARANOA
08137,CAMPO DE LA CRUZ
08141,CANDELARIA
08296,GALAPA
08372,JUAN DE ACOSTA
08421,LURUACO
08433,MALAMBO
08436,MANATI
08520,PALMAR DE VARELA
08549,PIOJO
08558,POLONUEVO
08560,PONEDERA
08573,PUERTO COLOMBIA
08606,REPELON
08634,SABANAGRANDE
08638,SABANALARGA
08675,SANTA LUCIA
08685,SANTO TOMAS
08758,SOLEDAD
08770,SUAN
08832,TUBARA
08849,USIACURI
11001,"BOGOTA, D.C."
13001,CARTAGENA
13006,ACHI
13030,ALTOS DEL ROSARIO
13042,ARENAL
13052,ARJONA
13062,ARROYOHONDO
13074,BARRANCO DE LOBA
13140,CALAMAR
13160,CANTAGALLO
13188,CICUCO
13212,CORDOBA
13222,CLEMENCIA
13244,EL CARMEN DE BOLIVAR
13248,EL GUAMO
13268,EL PEÑON
13300,HATILLO DE LOBA
13430,MAGANGUE
13433,MAHATES
13440,MARGARITA
13442,MARIA LA BAJA
13458,MONTECRISTO
13468,MOMPOS
13473,MORALES
13549,PINILLOS
13580,REGIDOR
13600,RIO VIEJO
13620,SAN CRISTOBAL
13647,SAN ESTANISLAO
13650,SAN FERNANDO
13654,SAN JACINTO
13655,SAN JACINTO DEL CAUCA
13657,SAN JUAN NEPOMUCENO
13667,SAN MARTIN DE LOBA
13670,SAN PABLO
13673,SANTA CATALINA
13683,SANTA ROSA
13688,SANTA ROSA DEL SUR
13744,SIMITI
13760,SOPLAVIENTO
13780,TALAIGUA NUEVO
13810,TIQUISIO
13836,TURBACO
13838,TURBANA
13873,VILLANUEVA
13894,ZAMBRANO
15001,TUNJA
15022,ALMEIDA
15047,AQUITANIA
15051,ARCABUCO
15087,BELEN
15090,BERBEO
15092,BETEITIVA
15097,BOAVITA
15104,BOYACA
15106,BRICEÑO
15109,BUENAVISTA
15114,BUSBANZA
15131,CALDAS
15135,CAMPOHERMOSO
15162,CERINZA
15172,CHINAVITA
15176,CHIQUINQUIRA
15180,CHISCAS
15183,CHITA
15185,CHITARAQUE
15187,CHIVATA
15189,CIENEGA
15204,COMBITA
15212,COPER
15215,CORRALES
15218,COVARACHIA
15223,CUBARA
15224,CUCAITA
15226,CUITIVA
15232,CHIQUIZA
15236,CHIVOR
15238,DUITAMA
15244,EL COCUY
15248,EL6aSPINO
15272,FIRAVITOBA
15276,FLORESTA
15293,GACHANTIVA
15296,GAMEZA
15299,GARAGOA
15317,GUACAMAYAS
15322,GUATEQUE
15325,GUAYATA
15332,GÜICAN
15362,IZA
15367,JENESANO
15368,JERICO
15377,LABRANZAGRANDE
15380,LA CAPILLA
15401,LA VICTORIA
15403,LA UVITA
15407,VILLA DE LEYVA
15425,MACANAL
15442,MARIPI
15455,MIRAFLORES
15464,MONGUA
15466,MONGUI
15469,MONIQUIRA
15476,MOTAVITA
15480,MUZO
15491,NOBSA
15494,NUEVO COLON
15500,OICATA
15507,OTANCHE
15511,PACHAVITA
15514,PAEZ
15516,PAIPA
15518,PAJARITO
15522,PANQUEBA
15531,PAUNA
15533,PAYA
15537,PAZ DE RIO
15542,PESCA
