codigo,Ciudad
05001,Medellin
05002,Abejorral
05004,Abriaqui
05021,Alejandria
05030,Amaga
05031,Amalfi
05034,Andes
05036,Angelopolis
05038,Angostura
05040,Anori
05042,Santafe De Antioquia
05044,Anza
05045,Apartado
05051,Arboletes
05055,Argelia
05059,Armenia
05079,Barbosa
05086,Belmira
05088,Bello
05091,Betania
05093,Betulia
05101,Ciudad Bolivar
05107,Briceño
05113,Buritica
05120,Caceres
05125,Caicedo
05129,Caldas
05134,Campamento
05138,Cañasgordas
05142,Caracoli
05145,Caramanta
05147,Carepa
05148,El Carmen De Viboral
05150,Carolina
05154,Caucasia
05172,Chigorodo
05190,Cisneros
05197,Cocorna
05206,Concepcion
05209,Concordia
05212,Copacabana
05234,Dabeiba
05237,Don Matias
05240,Ebejico
05250,El Bagre
05264,Entrerrios
05266,Envigado
05282,Fredonia
05284,Frontino
05306,Giraldo
05308,Girardota
05310,Gomez Plata
05313,Granada
05315,Guadalupe
05318,Guarne
05321,Guatape
05347,Heliconia
05353,Hispania
05360,Itagui
05361,Ituango
05364,Jardin
05368,Jerico
05376,La Ceja
05380,La Estrella
05390,La Pintada
05400,La Union
05411,Liborina
05425,Maceo
05440,Marinilla
05467,Montebello
05475,Murindo
05480,Mutata
05483,Nariño
05490,Necocli
05495,Nechi
05501,Olaya
05541,Peñol
05543,Peque
05576,Pueblorrico
05579,Puerto Berrio
05585,Puerto Nare
05591,Puerto Triunfo
05604,Remedios
05607,Retiro
05615,Rionegro
05628,Sabanalarga
05631,Sabaneta
05642,Salgar
05647,San Andres De Cuerquia
05649,San Carlos
05652,San Francisco
05656,San Jeronimo
05658,San Jose De La Montaña
05659,San Juan De Uraba
05660,San Luis
05664,San Pedro
05665,San Pedro De Uraba
05667,San Rafael
05670,San Roque
05674,San Vicente
05679,Santa Barbara
05686,Santa Rosa De Osos
05690,Santo Domingo
05697,El Santuario
05736,Segovia
05756,Sonson
05761,Sopetran
05789,Tamesis
05790,Taraza
05792,Tarso
05809,Titiribi
05819,Toledo
05837,Turbo
05842,Uramita
05847,Urrao
05854,Valdivia
05856,Valparaiso
05858,Vegachi
05861,Venecia
05873,Vigia Del Fuerte
05885,Yali
05887,Yarumal
05890,Yolombo
05893,Yondo
05895,Zaragoza
08001,Barranquilla
08078,Baranoa
08137,Campo De La Cruz
08141,Candelaria
08296,Galapa
08372,Juan De Acosta
08421,Luruaco
08433,Malambo
08436,Manati
08520,Palmar De Varela
08549,Piojo
08558,Polonuevo
08560,Ponedera
08573,Puerto Colombia
08606,Repelon
08634,Sabanagrande
08638,Sabanalarga
08675,Santa Lucia
08685,Santo Tomas
08758,Soledad
08770,Suan
08832,Tubara
08849,Usiacuri
11001,"Bogota, D.C."
13001,Cartagena
13006,Achi
13030,Altos Del Rosario
13042,Arenal
13052,Arjona
13062,Arroyohondo
13074,Barranco De Loba
13140,Calamar
13160,Cantagallo
13188,Cicuco
13212,Cordoba
13222,Clemencia
13244,El Carmen De Bolivar
13248,El Guamo
13268,El Peñon
13300,Hatillo De Loba
13430,Magangue
13433,Mahates
13440,Margarita
13442,Maria La Baja
13458,Montecristo
13468,Mompos
13473,Morales
13549,Pinillos
13580,Regidor
13600,Rio Viejo
13620,San Cristobal
13647,San Estanislao
13650,San Fernando
13654,San Jacinto
13655,San Jacinto Del Cauca
13657,San Juan Nepomuceno
13667,San Martin De Loba
13670,San Pablo
13673,Santa Catalina
13683,Santa Rosa
13688,Santa Rosa Del Sur
13744,Simiti
13760,Soplaviento
13780,Talaigua Nuevo
13810,Tiquisio
13836,Turbaco
13838,Turbana
13873,Villanueva
13894,Zambrano
15001,Tunja
15022,Almeida
15047,Aquitania
15051,Arcabuco
15087,Belen
15090,Berbeo
15092,Beteitiva
15097,Boavita
15104,Boyaca
15106,Briceño
15109,Buenavista
15114,Busbanza
15131,Caldas
15135,Campohermoso
15162,Cerinza
15172,Chinavita
15176,Chiquinquira
15180,Chiscas
15183,Chita
15185,Chitaraque
15187,Chivata
15189,Cienega
15204,Combita
15212,Coper
15215,Corrales
15218,Covarachia
15223,Cubara
15224,Cucaita
15226,Cuitiva
15232,Chiquiza
15236,Chivor
15238,Duitama
15244,El Cocuy
15248,El6Aspino
15272,Firavitoba
15276,Floresta
15293,Gachantiva
15296,Gameza
15299,Garagoa
15317,Guacamayas
15322,Guateque
15325,Guayata
15332,Güican
15362,Iza
15367,Jenesano
15368,Jerico
15377,Labranzagrande
15380,La Capilla
15401,La Victoria
15403,La Uvita
15407,Villa De Leyva
15425,Macanal
15442,Maripi
15455,Miraflores
15464,Mongua
15466,Mongui
15469,Moniquira
15476,Motavita
15480,Muzo
15491,Nobsa
15494,Nuevo Colon
15500,Oicata
15507,Otanche
15511,Pachavita
15514,Paez
15516,Paipa
15518,Pajarito
15522,Panqueba
15531,Pauna
15533,Paya
15537,Paz De Rio
15542,Pesca
15550,Pisba
15572,Puerto Boyaca
15580,Quipama
15599,Ramiriqui
15600,Raquira
15621,Rondon
15632,Saboya
15638,Sachica
15646,Samaca
15660,San Eduardo
15664,San Jose De Pare
15667,San Luis De Gaceno
15673,San Mateo
15676,San Miguel De Sema
15681,San Pablo De Borbur
15686,Santana
15690,Santa Maria
15693,Santa Rosa De Viterbo
15696,Santa Sofia
15720,Sativanorte
15723,Sativasur
15740,Siachoque
15753,Soata
15755,Socota
15757,Socha
15759,Sogamoso
15761,Somondoco
15762,Sora
15763,Sotaquira
15764,Soraca
15774,Susacon
15776,Sutamarchan
15778,Sutatenza
15790,Tasco
15798,Tenza
15804,Tibana
15806,Tibasosa
15808,Tinjaca
15810,Tipacoque
15814,Toca
15816,Togüi
15820,Topaga
15822,Tota
15832,Tunungua
15835,Turmeque
15837,Tuta
15839,Tutaza
15842,Umbita
15861,Ventaquemada
15879,Viracacha
15897,Zetaquira
17001,Manizales
17013,Aguadas
17042,Anserma
